Hamilton;70.8;999;71.2;72.5
Leclerc;72.1;999;71.8;72.9
Verstappen;73.5;72.2;71.9;999
Russell;73.8;999;74.1;75.2
Räikkönen;74.5;75.0;999;74.2
Sainz;76.1;75.4;75.9;999
Norris;999;76.2;75.8;76.5
Gasly;76.9;77.1;999;76.3
Albon;77.2;999;76.8;77.5
Ocon;78.2;77.4;999;78.6
Alonso;999;77.8;78.1;77.6
Stroll;78.9;999;78.2;79.1
Hulkenberg;78.9;999;79.4;78.5
Magnussen;79.5;78.8;999;79.2
Bottas;80.1;79.3;999;79.8
Zhou;999;80.5;79.9;80.8
Tsunoda;80.8;999;80.2;81.1
De Vries;81.5;80.9;999;82.1
Sargeant;82.3;999;81.7;82.8
Schumacher;999;82.5;81.9;83.2
